Year,League,Franchise,Rank,Gamesplayed,Gamesplayedathome,Wins,Losses,DivisionWinner,WildCardWinner,LeagueChampion,WorldSeriesWinner,RunsScored,Atbats,Hitsbybatters,Doubles,Triples,Homerunsbybatters,Walksbybatters,Strikeoutsbybatters,Stolenbases,Caughtstealing,Battershitbypitch,Sacrificeflies,Opponentsrunsscored,Earnedrunsallowed,Earnedrunaverage,Completegames,Shutouts,Saves,Outspitched,Hitsallowed,Homerunsallowed,Walksallowed,Strikeoutsbypitchers,Errors,Doubleplays,Fieldingpercentage,Homeattendancetotal,Battersparkfactor,Pitchersparkfactor
2000,NL,CHC,6,162,81,65,97,0,0,0,0,764,5577,1426,272,23,183,632,1120,93,37,54,45,904,849,5.25,10,5,39,4364,1505,231,658,1143,100,139,0.983,2789511,97,98
2000,NL,CIN,2,163,82,85,77,0,0,0,0,825,5635,1545,302,36,200,559,995,100,38,64,58,765,700,4.33,8,7,42,4369,1446,190,659,1015,111,156,0.982,2577371,102,102
2000,NL,COL,4,162,81,82,80,0,0,0,0,968,5660,1664,320,53,161,601,907,131,61,42,75,897,835,5.26,7,2,33,4290,1568,221,588,1001,94,176,0.985,3295129,125,125
2000,NL,FLA,3,161,81,79,82,0,0,0,0,731,5509,1441,274,29,160,540,1184,168,55,60,51,797,729,4.59,5,4,48,4289,1477,169,650,1051,125,144,0.98,1218326,94,95
2000,NL,HOU,4,162,81,72,90,0,0,0,0,938,5570,1547,289,36,249,673,1129,114,52,83,61,944,865,5.42,8,2,30,4313,1596,234,598,1064,133,149,0.978,3056139,107,107
2000,NL,LAD,2,162,81,86,76,0,0,0,0,798,5481,1408,265,28,211,668,1083,95,42,51,46,729,659,4.1,9,11,36,4335,1379,176,600,1154,135,151,0.978,2880242,94,94
2000,NL,MIL,3,163,81,73,89,0,0,0,0,740,5563,1366,297,25,177,620,1245,72,44,61,49,826,755,4.63,2,7,29,4399,1501,174,728,967,118,187,0.981,1573621,97,98
2000,NL,WSN,4,162,81,67,95,0,0,0,0,738,5535,1475,310,35,178,476,1048,58,48,29,34,902,812,5.13,4,7,39,4274,1575,181,579,1011,132,151,0.978,926272,103,104
2000,NL,NYM,2,162,81,94,68,0,1,1,0,807,5486,1445,281,20,198,675,1037,66,46,45,51,738,670,4.16,8,10,49,4350,1398,164,574,1164,118,121,0.98,2820530,96,96
2000,NL,PHI,5,162,81,65,97,0,0,0,0,708,5511,1386,304,40,144,611,1117,102,30,44,37,830,763,4.77,8,6,34,4316,1458,201,640,1123,100,136,0.983,1612769,100,101
2000,NL,PIT,5,162,81,69,93,0,0,0,0,793,5643,1506,320,31,168,564,1032,86,40,66,37,888,795,4.94,5,7,27,4347,1554,163,711,1070,132,169,0.979,1748908,99,100
2000,NL,SDP,5,162,81,76,86,0,0,0,0,752,5560,1413,279,37,157,602,1177,131,53,46,43,815,733,4.52,5,5,46,4378,1443,191,649,1071,141,155,0.977,2352443,92,92
2000,NL,SFG,1,162,81,97,65,1,0,0,0,925,5519,1535,304,44,226,709,1032,79,39,51,66,747,675,4.21,9,15,47,4333,1452,151,623,1076,93,173,0.985,3318800,93,92
2000,NL,STL,1,162,81,95,67,1,0,0,0,887,5478,1481,259,25,235,675,1253,87,51,84,53,771,698,4.38,10,7,37,4301,1403,196,606,1100,111,148,0.981,3336493,102,101
2001,AL,ANA,3,162,81,75,87,0,0,0,0,691,5551,1447,275,26,158,494,1001,116,52,77,53,730,671,4.2,6,1,43,4313,1452,168,525,947,103,142,0.983,2000919,101,101
2001,AL,BAL,4,162,80,63,98,0,0,0,0,687,5472,1359,262,24,136,514,989,133,53,77,49,829,744,4.67,10,6,31,4297,1504,194,528,938,125,137,0.979,3094841,95,96
